Goals,Shots,XG,Minutes Played,Home Team,Away Team,Home Goals,Away Goals,Date,Season,XA,Assists,Key Passes,NPG,NPXG,XGChain,XGBuildup
2,4,1.01,90,Real Valladolid,Real Madrid,1,4,2019-03-10,2018,0.35,1,2,1,0.27,0.89,0.81
0,2,0.06,90,Real Madrid,Barcelona,0,1,2019-03-02,2018,0.1,0,1,0,0.06,0.19,0.04
1,3,0.86,75,Levante,Real Madrid,1,2,2019-02-24,2018,0.1,0,3,0,0.12,0.2,0.07
0,4,0.5,90,Real Madrid,Girona,1,2,2019-02-17,2018,0.06,0,1,0,0.5,0.5,0.07
0,2,0.08,90,Atletico Madrid,Real Madrid,1,3,2019-02-09,2018,0.18,0,1,0,0.08,0.35,0.14
1,3,0.73,75,Real Madrid,Alaves,3,0,2019-02-03,2018,0.0,0,0,1,0.73,0.97,0.24
2,4,0.96,90,Espanyol,Real Madrid,2,4,2019-01-27,2018,0.65,0,5,2,0.96,2.07,1.39
0,2,0.08,90,Real Madrid,Sevilla,2,0,2019-01-19,2018,0.42,0,3,0,0.08,0.53,0.12
0,1,0.03,47,Real Betis,Real Madrid,1,2,2019-01-13,2018,0.24,0,3,0,0.03,0.31,0.05
0,4,0.48,90,Real Madrid,Real Sociedad,0,2,2019-01-06,2018,0.34,0,3,0,0.48,0.85,0.18
1,4,0.54,90,Villarreal,Real Madrid,2,2,2019-01-03,2018,0.1,0,1,1,0.54,0.84,0.2
1,1,0.41,78,Real Madrid,Rayo Vallecano,1,0,2018-12-15,2018,0.11,0,2,1,0.41,0.87,0.41
0,0,0.0,90,SD Huesca,Real Madrid,0,1,2018-12-09,2018,0.0,0,0,0,0.0,0.0,0.0
0,3,0.2,90,Real Madrid,Valencia,2,0,2018-12-01,2018,0.24,1,2,0,0.2,0.44,0.0
0,2,0.89,90,Eibar,Real Madrid,3,0,2018-11-24,2018,0.04,0,1,0,0.89,0.92,0.0
1,7,1.33,90,Celta Vigo,Real Madrid,2,4,2018-11-11,2018,0.0,0,0,1,1.33,1.5,0.17
0,3,0.4,90,Real Madrid,Real Valladolid,2,0,2018-11-03,2018,0.0,0,0,0,0.4,0.42,0.02
0,5,0.95,90,Barcelona,Real Madrid,5,1,2018-10-28,2018,0.1,0,2,0,0.95,1.08,0.08
0,4,0.32,28,Real Madrid,Levante,1,2,2018-10-20,2018,0.12,1,2,0,0.32,0.67,0.23
0,2,0.38,46,Alaves,Real Madrid,1,0,2018-10-06,2018,0.13,0,2,0,0.38,0.51,0.39
0,2,0.19,89,Real Madrid,Atletico Madrid,0,0,2018-09-29,2018,0.0,0,0,0,0.19,0.2,0.02
0,1,0.04,61,Sevilla,Real Madrid,3,0,2018-09-26,2018,0.0,0,0,0,0.04,0.06,0.06
0,1,0.02,63,Real Madrid,Espanyol,1,0,2018-09-22,2018,0.04,0,1,0,0.02,0.12,0.1
0,2,0.06,90,Athletic Club,Real Madrid,1,1,2018-09-15,2018,0.0,0,0,0,0.06,0.13,0.06
2,4,0.31,90,Real Madrid,Leganes,4,1,2018-09-01,2018,0.0,0,0,2,0.31,1.1,0.79
2,3,1.46,90,Girona,Real Madrid,1,4,2018-08-26,2018,0.17,0,3,1,0.71,0.92,0.15
0,1,0.06,90,Real Madrid,Getafe,2,0,2018-08-19,2018,0.1,0,1,0,0.06,0.23,0.06
0,2,0.12,28,Villarreal,Real Madrid,2,2,2018-05-19,2017,0.0,0,0,0,0.12,0.12,0.0
0,2,0.17,64,Real Madrid,Celta Vigo,6,0,2018-05-12,2017,0.08,1,1,0,0.17,0.51,0.4
0,2,0.09,90,Sevilla,Real Madrid,3,2,2018-05-09,2017,0.02,0,1,0,0.09,0.1,0.01
0,1,0.04,90,Barcelona,Real Madrid,2,2,2018-05-06,2017,0.8,1,4,0,0.04,0.97,0.13
0,1,0.07,63,Real Madrid,Leganes,2,1,2018-04-28,2017,0.03,0,1,0,0.07,0.1,0.03
0,2,0.13,71,Real Madrid,Athletic Club,1,1,2018-04-18,2017,0.03,0,1,0,0.13,0.25,0.09
0,5,0.42,90,Malaga,Real Madrid,1,2,2018-04-15,2017,0.7,0,2,0,0.42,1.96,0.87
0,1,0.12,26,Real Madrid,Atletico Madrid,1,1,2018-04-08,2017,0.0,0,0,0,0.12,0.12,0.0
1,5,2.29,90,Las Palmas,Real Madrid,0,3,2018-03-31,2017,0.27,0,1,0,1.54,2.33,0.51
0,2,0.56,84,Real Madrid,Girona,6,3,2018-03-18,2017,0.83,1,2,0,0.56,1.53,0.57
0,0,0.0,18,Eibar,Real Madrid,1,2,2018-03-10,2017,0.0,0,0,0,0.0,0.0,0.0
0,2,0.15,90,Real Madrid,Getafe,3,1,2018-03-03,2017,0.17,1,1,0,0.15,0.52,0.31
0,0,0.0,21,Espanyol,Real Madrid,1,0,2018-02-27,2017,0.0,0,0,0,0.0,0.0,0.0
1,4,1.19,90,Real Madrid,Alaves,4,0,2018-02-24,2017,0.87,2,7,0,0.45,1.99,0.75
0,1,0.11,76,Leganes,Real Madrid,1,3,2018-02-21,2017,0.07,0,1,0,0.11,0.89,0.82
1,1,0.36,1,Real Betis,Real Madrid,3,5,2018-02-18,2017,0.0,0,0,1,0.36,0.36,0.0
0,3,1.65,90,Real Madrid,Real Sociedad,5,2,2018-02-10,2017,0.06,0,1,0,1.65,2.35,0.63
0,2,0.12,90,Levante,Real Madrid,2,2,2018-02-03,2017,0.21,1,2,0,0.12,0.44,0.22
0,1,0.09,79,Valencia,Real Madrid,1,4,2018-01-27,2017,0.0,0,0,0,0.09,0.34,0.25
0,0,0.0,26,Real Madrid,Deportivo La Coruna,7,1,2018-01-21,2017,0.1,0,1,0,0.0,0.1,0.1
0,2,0.26,67,Real Madrid,Barcelona,0,3,2017-12-23,2017,0.0,0,0,0,0.26,0.27,0.02
0,3,0.59,90,Real Madrid,Sevilla,5,0,2017-12-09,2017,0.32,1,2,0,0.59,1.09,0.42
0,1,0.37,83,Athletic Club,Real Madrid,0,0,2017-12-02,2017,0.45,0,2,0,0.37,0.43,0.03
1,2,0.96,90,Real Madrid,Malaga,3,2,2017-11-25,2017,0.05,0,1,1,0.96,1.17,0.17
0,0,0.0,78,Atletico Madrid,Real Madrid,0,0,2017-11-18,2017,0.0,0,0,0,0.0,0.0,0.0
0,2,0.52,75,Real Madrid,Las Palmas,3,0,2017-11-05,2017,0.0,0,0,0,0.52,0.52,0.0
0,2,0.2,90,Girona,Real Madrid,2,1,2017-10-29,2017,0.28,0,3,0,0.2,0.48,0.0
0,2,0.14,26,Real Madrid,Eibar,3,0,2017-10-22,2017,0.07,1,1,0,0.14,0.35,0.21
1,3,0.46,83,Getafe,Real Madrid,1,2,2017-10-14,2017,0.41,0,1,1,0.46,0.9,0.02
0,1,0.01,27,Real Madrid,Levante,1,1,2017-09-09,2017,0.41,0,1,0,0.01,0.43,0.41
0,8,2.76,90,Real Madrid,Valencia,2,2,2017-08-27,2017,0.05,0,2,0,2.76,2.85,0.06
0,0,0.0,90,Deportivo La Coruna,Real Madrid,0,3,2017-08-20,2017,1.19,1,5,0,0.0,1.96,0.85
1,2,0.73,74,Malaga,Real Madrid,0,2,2017-05-21,2016,0.02,0,1,1,0.73,0.06,0.0
1,3,1.51,90,Celta Vigo,Real Madrid,1,4,2017-05-17,2016,0.49,1,1,1,1.51,2.06,0.06
0,3,0.33,31,Granada,Real Madrid,0,4,2017-05-06,2016,0.1,0,1,0,0.33,0.47,0.28
0,4,0.34,72,Real Madrid,Valencia,2,1,2017-04-29,2016,0.08,0,1,0,0.34,0.5,0.07
0,2,0.44,84,Real Madrid,Barcelona,2,3,2017-04-23,2016,0.13,0,3,0,0.44,1.15,0.58
0,3,0.64,90,Real Madrid,Atletico Madrid,1,1,2017-04-08,2016,0.05,0,1,0,0.64,0.78,0.09
1,2,0.16,82,Real Madrid,Alaves,3,0,2017-04-02,2016,0.15,0,2,1,0.16,0.5,0.29
1,1,0.42,86,Athletic Club,Real Madrid,1,2,2017-03-18,2016,0.15,0,2,1,0.42,0.57,0.0
0,0,0.0,19,Real Madrid,Real Betis,2,1,2017-03-12,2016,0.0,0,0,0,0.0,0.06,0.06
2,5,1.23,65,Eibar,Real Madrid,1,4,2017-03-04,2016,0.12,1,1,2,1.23,1.13,0.35
0,2,0.4,16,Real Madrid,Las Palmas,3,3,2017-03-01,2016,0.06,0,1,0,0.4,0.45,0.0
0,5,0.35,80,Villarreal,Real Madrid,2,3,2017-02-26,2016,0.1,0,2,0,0.35,0.59,0.22
